lakk,ka'umsa,ka'umsa,ga'umsa,nama,a,a,a,a,d,s
quincentenary,,<h3>Cibra</h3> 1] waggaa dhibba shanaffaa (500),,,,,,,,
quinine,,<h3>Cibra</h3> 1] qoricha dhukkuba busaa,,,,,,,,
quintessence,,<h3>Cibra</h3> 1] fakkeenya gaarii,,,,,,,,
quintet,,<h3>Cibra</h3> 1] gartuu namoota shanii kan muuziiqaa xabatan 2] muuziiqaa namooti shan akka xabataniif barreeffame,,,,,,,,
quintuplet,,<h3>Cibra</h3> 1] daa'imman shan si'a tokkotti haadha tokko irraa dhalatan,,,,,,,,
quip,,"<h3>Cibra</h3> 1] si'aawaa, qareessa",,,,,,,,
quirk,,<h3>Cibra</h3> 1] amala adda ta'e,,,,,,,,
quisling,,"<h3>Cibra</h3> 1] baandaa, gantuu. (kan diinaa wajjin hojjetu)",,,,,,,,
quit,,<h3>Gochima</h3> 1] dhiusuu 2] waan tokko hojjechuu dhaabuu,,,,,,,,
Quit (ICT),,"<h3>Gochima</h3> 1] Dhiisi, Dhiisuu, Dhiisi, (ICT, Jecha Kompiitaraa)",,,,,,,,
Quit Signal (ICT),,"<h3>Gochima</h3> 1] Asattoo Dhiisii, (ICT, Jecha Kompiitaraa)",,,,,,,,
quite,,<h3>Xumibsa</h3> 1] hamma tokko,,,,,,,,
Quito,,<h3>Maqqofee</h3> 1] magaalaa guddoo biyya Ikkuwaadoor,,,,,,,,
quitter,,<h3>Cibra</h3> 1] nama hojii jalqabe tokko hin fixne,,,,,,,,
quiver,,"<h3>Gochima</h3> 1] rommuu, ollachuu <h3>Cibra</h3> 1] man'ee xiyyaa",,,,,,,,
quivering,,"<h3>Maqibsa</h3> 1] ollachiiftuu, rommisiiftuu",,,,,,,,
quixotic,,<h3>Maqibsa</h3> 1] yaadaa fi akeeka gaggaarii hojmaateeffamuu hin dandeenye kan qabu.,,,,,,,,
quiz,,"<h3>Cibra</h3> 1] dorgommii gaaffifi deebii 2] battalee, mallaggaa",,,,,,,,
quizzical,,<h3>Maqibsa</h3> 1] akka nama waan tokko gaafachuu barbaadee ta'uu,,,,,,,,
quorum,,<h3>Cibra</h3> 1] mijoo,,,,,,,,
quota,,"<h3>Cibra</h3> 1] kootaa, ga'ee 2] hammamtaa murtaa'aa (waan tokko fudhachuuf, hojjechuuf...)",,,,,,,,
quotable,,"<h3>Cibra</h3> 1] eeramuu kan danda'u, eeruuf mijaa'aa kan ta'e",,,,,,,,
quotation,,"<h3>Cibra</h3> 1] baana, waraabbii",,,,,,,,
Quotation Mark (ICT),,"<h3>Cibra</h3> 1] Mallattoo Waraabbii, (ICT, Jecha Kompiitaraa)",,,,,,,,
quotation marks,,"<h3>Cibra</h3> 1] mallattoo waraabbii (""*"")",,,,,,,,
quote,,"<h3>Gochima</h3> 1] baanuu, eeruu (waanta nami tokko dubbate/barreesse)",,,,,,,,
quotient,,"<h3>Cibra</h3> 1] gayee, qooda, gahee",,,,,,,,
Qur'an,,"<h3>Maqqofee</h3> 1] Quraana, kitaaba qulqulluu kan Musliimotaa",,,,,,,,
r,,<h3>Qubee</h3> 1] qubee 18ffaa kan afaan Ingilizii,,,,,,,,
Rabat,,<h3>Maqqofee</h3> 1] magaalaa guddoo biyya Morokoop,,,,,,,,
rabbi,,<h3>Cibra</h3> 1] duree amantii Yihuudii yookiin barsiisaa seera Yihuudootaa,,,,,,,,
rabbit,,"<h3>Cibra</h3> 1] illeettii, illeensa",,,,,,,,
rabble,,<h3>Cibra</h3> 1] namoota bakka tokkotti walitti guujja'anii jiran. 2] namoota gita hawaasaa gad-aanaa,,,,,,,,
rabid,,"<h3>Maqibsa</h3> 1] saree maraatuu 2] dheekkamaa, hamaa",,,,,,,,
rabies,,"<h3>Cibra</h3> 1] nyanyee, (saree fi bineeldoota/neefkaalee kan biroo dhukkuba maraachu)",,,,,,,,
raccoon,,<h3>Cibra</h3> 1] gosa bineelda/neefkaa xinnoo Ameerilkaa Kaabaa keessatti argamu,,,,,,,,
race,,"<h3>Cibra</h3> 1] doggodoggee, dorgommi fiigichaa, hamaandirroo",,,,,,,,
racecourse,,<h3>Cibra</h3> 1] tiraakii fardeen irratti waliin dorgoman,,,,,,,,
racehorse,,<h3>Cibra</h3> 1] farda dorgommiif horsiifamtu.,,,,,,,,
racetrack,,<h3>Cibra</h3> 1] tiraakii dorgommii kan makiinaa yookiin kan fiigdootaa,,,,,,,,
racial,,<h3>Maqibsa</h3> 1] kan sanyii,,,,,,,,
racism,,"<h3>Cibra</h3> 1] sanyii addaan baasuu, jibbuu (sababa sanyiitiin)",,,,,,,,
racist,,<h3>Maqibsa</h3> 1] nama sanyii kan isaa irraa adda ta'e jibbu,,,,,,,,
rack,,<h3>Cibra</h3> 1] ansaada neeshaa/mi'a keessa naqan,,,,,,,,
racket,,<h3>Cibra</h3> 1] raakeeta,,,,,,,,
raconteur,,<h3>Cibra</h3> 1] nama durdurii bareechee himuu beeku,,,,,,,,
racy,,"<h3>Maqibsa</h3> 1] waan namatti tolu garuu immoo waan nama naasisus kan qabu (haasaa, barreeffamaafi kk)",,,,,,,,
radar,,"<h3>Cibra</h3> 1] raadaarii, (meeshaa bakka xiyyaarrii fi dooniin jiran himuu danda'u)",,,,,,,,
Radar (ICT),,"<h3>Cibra</h3> 1] Raadaarii, Raadaarii, (ICT, Jecha Kompiitaraa)",,,,,,,,
raddled,,<h3>Maqibsa</h3> 1] nama butute,,,,,,,,
radial,,<h3>Maqibsa</h3> 1] akka carallaatti kan naqame,,,,,,,,
radiant,,<h3>Maqibsa</h3> 1] ifa yookiin o'a kan maddisiisu 2] kan gammachuu yookiin jaalalli irraa mul'atu,,,,,,,,
radiate,,<h3>Gochima</h3> 1] calaqqisuu,,,,,,,,
radiation,,"<h3>Cibra</h3> 1] calaqqee, carallaa",,,,,,,,
radiator,,<h3>Cibra</h3> 1] sibiila keessi isaa qaawwa kan mana o'isu 2] meeshaa injiinii makinaa yookiin kan xiyyaaraa qabbaneessu,,,,,,,,
radical,,"<h3>Maqibsa</h3> 1] bu'uura irraa, kan bu'uuraa 2] guutuu 3] haaraa, adda",,,,,,,,
radio,,"<h3>Cibra</h3> 1] raadiyoonii, raadiyoo",,,,,,,,
Radio Button (ICT),,"<h3>Cibra</h3> 1] Qabduu Raadiyoo, (ICT, Jecha Kompiitaraa)",,,,,,,,
radioactive,,<h3>Maqibsa</h3> 1] carallaa hamaa wayita atoomonni addaan caccaban bittinnaa'u,,,,,,,,
radiography,,<h3>Cibra</h3> 1] raajii kaasuu,,,,,,,,
radiology,,<h3>Cibra</h3> 1] qu'annoo wal'aansa carallaa,,,,,,,,
radiotherapy,,<h3>Cibra</h3> 1] dhukkuba carallaadhaan wal'aanuu,,,,,,,,
radish,,<h3>Cibra</h3> 1] gosa kuduraa hundeen isaa nyaatamu,,,,,,,,
radium,,<h3>Cibra</h3> 1] raadiyamii,,,,,,,,
radius,,"<h3>Cibra</h3> 1] reediyasii, fageenya geengoo wiirtuudhaa jalqabee hanga qarqaraatti jiru",,,,,,,,
radon,,<h3>Cibra</h3> 1] raadoonii,,,,,,,,
raffia grass,,<h3>Cibra</h3> 1] sutaa,,,,,,,,
raffish,,"<h3>Maqibsa</h3> 1] addaggee, kan ulfina hin beekne.",,,,,,,,
raffle,,<h3>Cibra</h3> 1] lotorii (kan mi'aa),,,,,,,,
raft,,"<h3>Cibra</h3> 1] gudeelcha battee yookiin barmeelii diriiraa wal itti hidhamee akka bidiruutti tajaajila kennuu 2] hedduu, baay'ee",,,,,,,,
rafter,,<h3>Cibra</h3> 1] wayita mana ijaaran dagalee isa irra keessaa qorqorroo mismaaraan itti rukutan,,,,,,,,
rag,,"<h3>Cibra</h3> 1] dasee, bututtuu, wayaa moofaa ciccitaa",,,,,,,,
ragamuffin,,"<h3>Cibra</h3> 1] kan daare, nama wayaan irraa dhume (kees. daa'ima)",,,,,,,,
rage,,<h3>Cibra</h3> 1] dheekkamsa <h3>Gochima</h3> 1] dheekkamuu,,,,,,,,
ragged,,"<h3>Maqibsa</h3> 1] dasee, bututtuu, ciccitaa, ciccittuu (wayaadhaaf), dhumaa",,,,,,,,
ragout,,<h3>Cibra</h3> 1] ittoo,,,,,,,,
rags,,"<h3>Cibra</h3> 1] jalaabaatee, bututtuu",,,,,,,,
raid,,"<h3>Gochima</h3> 1] weeraruu, haleeluu 2] tasa weeraruu (poolisiif)",,,,,,,,
rail,,<h3>Cibra</h3> 1] hadiida baaburaa 2] sibiila qodaa iratti fannisan kan mana keessaa 3] sibiila harkaan qabatanii fooqiitti ol ba'an (kan cinaa sadarkaa),,,,,,,,
railcard,,<h3>Cibra</h3> 1] tikeetii baaburaa kan gatiin xinnoo,,,,,,,,
railhead,,<h3>Cibra</h3> 1] marfata baaburaa (dhuma isaa),,,,,,,,
railing,,<h3>Cibra</h3> 1] dallaa/kellaa sibiilaa,,,,,,,,
railroad,,<h3>Cibra</h3> 1] hadiida baaburaa,,,,,,,,
railway,,<h3>Cibra</h3> 1] hadiida baaburaa,,,,,,,,
raiment,,<h3>Cibra</h3> 1] uffata,,,,,,,,
rain,,"<h3>Cibra</h3> 1] bokkaa, rooba, sora <h3>Gochima</h3> 1] roobuu",,,,,,,,
rain (heavy),,"<h3>Cibra</h3> 1] bokkaa yandoo/dirsaa, needii/ jirkaa/tamna",,,,,,,,
rainbow,,"<h3>Cibra</h3> 1] sabbata Waaqaa, sabbata Waaqayyoo",,,,,,,,
raincoat,,<h3>Cibra</h3> 1] uffata bokkaa (roobaa),,,,,,,,
rainfall,,<h3>Cibra</h3> 1] baay'ina rooba naannoo tokkotti roobee,,,,,,,,
rainproof,,<h3>Maqibsa</h3> 1] roobi akka hin seenne gochuu kan danda'u,,,,,,,,
rainspout,,"<h3>Cibra</h3> 1] shaandaa, ashandaa, shorree",,,,,,,,
rainstorm,,<h3>Cibra</h3> 1] rooba obomboleetii makate,,,,,,,,
rainy,,<h3>Maqibsa</h3> 1] kan rooba/bokkaa qabu,,,,,,,,
raise,,"<h3>Gochima</h3> 1] ol fuudhuu, ol kaasuu, kaasuu",,,,,,,,
raisin,,<h3>Cibra</h3> 1] ija wayinii/eenabaa,,,,,,,,
rake,,"<h3>Cibra</h3> 1] harataa lafa ittiin qulleessan kan fixee irraa sibiila quba fafakkaatan qabu 2] sooressa halalee (kan ulfina isaa hin eegne) <h3>Gochima</h3> 1] haruu, qulleessuu",,,,,,,,
rally,,"<h3>Cibra</h3> 1] dorgommee, doggodoggee",,,,,,,,
ram,,<h3>Cibra</h3> 1] korbeessa (hoolaa) <h3>Gochima</h3> 1] waa walitti buusuu/rukutuu,,,,,,,,
Ramadan,,"<h3>Cibra</h3> 1] Ramadaana, ji'a salgaffaa kan Musliimootaa yeroo Musliimoonni ganama hanga galgalaatti waa hin nyaannee fi hin dhugne",,,,,,,,
ramble,,<h3>Gochima</h3> 1] bashannanaaf asif achi adeemu (kees. baadiyyaa keessa) 2] callisanii haasa'uu yookiin barreessuu (haala hin qindoofneen),,,,,,,,
rambler,,<h3>Cibra</h3> 1] nama bashannanaaf gara baadiyaatti ba'ee asiif achi naanna'u.,,,,,,,,
rambling,,<h3>Maqibsa</h3> 1] gamoo fi daandii dizzaayinii gaariidhaan hin ijaaramne 2] haasaa fi katabbii ijoo hin qabne <h3>Cibra</h3> 1] baadiyyaa keessa fandalaluu (bashannanaaf) 2] barreeffama dheeraa sirritti hin qixoofne,,,,,,,,
ramekin,,<h3>Cibra</h3> 1] shaanii xinnoo,,,,,,,,
ramification,,<h3>Cibra</h3> 1] gochaa yookiin murtii tokkotti aanee rakkoo yookiin faayidaa dhufu (utuu hin yaadamiin),,,,,,,,
ramp,,"<h3>Cibra</h3> 1] kortoo, riqaa/yaabbannoo xiyyaara ittiin yaaban (kan socho'u)",,,,,,,,
rampage,,"<h3>Gochima</h3> 1] dirrisuu, gugussuu, disaasuu",,,,,,,,
rampant,,"<h3>Maqibsa</h3> 1] to'achuun haala hin danda'amne babal'aachuutti waan jiru (dhukkuba, yakkaa fi kkf) 2] biqiltuu dafee guddatu",,,,,,,,
rampart,,<h3>Cibra</h3> 1] keenyan daannoo,,,,,,,,
ramrod,,"<h3>Cibra</h3> 1] zangii, sangi, sibiila dur dhuka'aa qawwee keessatti ittin dhiiban",,,,,,,,
ramshackle,,<h3>Maqibsa</h3> 1] dulluma irraa kan ka'e caccabuu yookiin jijjiguutti kan jiru,,,,,,,,
ranch,,<h3>Cibra</h3> 1] lafa baľaa kan qonnaa fi horsiisa loonii,,,,,,,,
rancid,,"<h3>Maqibsa</h3> 1] ukaa, foolii gadhee kan qabu (nyaataaf)",,,,,,,,
rancor,,"<h3>Cibra</h3> 1] haaloo, gadoo",,,,,,,,
rand,,<h3>Cibra</h3> 1] maallaqa Afriikaa Kibbaa,,,,,,,,
random,,"<h3>Maqibsa</h3> 1] dunyitii, dagaggama, utuu itti hin yaadamiin waan tasa filatamu, waantasa darbee darbee ta'u ykn hojetamu",,,,,,,,
randy,,<h3>Maqibsa</h3> 1] fedhiin saalquunnamtii kan itti kaka'e,,,,,,,,
range,,<h3>Cibra</h3> 1] dirree bal'aa loon irra tiksan 2] wantoota hedduu kan gosa tokkichaa 3] fageenya nami tokko waa dhaga'uu yookiin arguu itti danda'u 4] fageenya rasaasi deemuu dandeessu 5] daangaa lafaa kan loltoonni keessatti loltummaa shaakalan,,,,,,,,
Range (ICT),,"<h3>Cibra</h3> 1] Hangii, Hangii, (ICT, Jecha Kompiitaraa)",,,,,,,,
Range Name (ICT),,"<h3>Cibra</h3> 1] Moggaasa Daangaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
rangefinder,,<h3>Cibra</h3> 1] nami tokko hammam fagaatee akka jiru meeshaa ittiin hubatan (itti dhukaasuuf yookiin suuraa isaa kaasuuf),,,,,,,,
ranger,,<h3>Cibra</h3> 1] nama paarkii fi bosona kunuunsu,,,,,,,,
rangy,,<h3>Maqibsa</h3> 1] qallaa dheeraa,,,,,,,,
rank,,"<h3>Cibra</h3> 1] aankii, irreeffama",,,,,,,,
rankle,,<h3>Gochima</h3> 1] miira aarii uumuu,,,,,,,,
ransack,,"<h3>Gochima</h3> 1] waan tokko itti dhimmamanii barbaaduu 2] meeshaa asiif achi daddarbachuu, hatuu",,,,,,,,
ransom,,"<h3>Cibra</h3> 1] wajoo, nama hidhamee jiru tokko gad-dhiisisuuf maallaqa kaffalamu <h3>Gochima</h3> 1] nama hidhamee jiru maallaqa kaffalanii gad-dhiisisuu.",,,,,,,,
rant,,<h3>Gochima</h3> 1] aariidhaan dubbachuu sagalee ol fuudhanii haasa'uu,,,,,,,,
rap,,<h3>Gochima</h3> 1] waan tokko daddafanii rurrukutuu,,,,,,,,
rapacious,,"<h3>Maqibsa</h3> 1] sassattuu, waakkataa (kees. maallaqaaf)",,,,,,,,
rape,,"<h3>Gochima</h3> 1] gooressuu, gudeeduuu",,,,,,,,
rapid,,"<h3>Maqibsa</h3> 1] si'ataa, ariifataa",,,,,,,,
rapidity,,"<h3>Cibra</h3> 1] ariitii, sardamsuu",,,,,,,,
rapidly,,"<h3>Maqibsa</h3> 1] ariitiidhaan, daddaffiidhaan",,,,,,,,
rapier,,"<h3>Cibra</h3> 1] bodee, baangaa, saanjaa",,,,,,,,
rapport,,<h3>Cibra</h3> 1] hariroo gaarii,,,,,,,,
rapprochement,,<h3>Cibra</h3> 1] hariiroo michummaa haaroomsuu (kees. biyyoota yookiin gartuulee daran diina walii turan gidduutti),,,,,,,,
rapt,,<h3>Maqibsa</h3> 1] waan dhaggeeffachuutti yookiin ilaaluutti jiruun qalbiin isaa kan qabame,,,,,,,,
rapture,,<h3>Cibra</h3> 1] baqaqqee,,,,,,,,
rare,,"<h3>Maqibsa</h3> 1] takkatuu, waan yeroo baay'ee hin mul'anne yookiin hin taane 2] foon affeellii kan keessi diimaa",,,,,,,,
rarefied,,<h3>Cibra</h3> 1] oksijiinii xinnoo kan qabu,,,,,,,,
raring,,<h3>Maqibsa</h3> 1] waan tokko hojjechuuf nama dharraa ol aanaa qabu,,,,,,,,
rarity,,<h3>Cibra</h3> 1] baay'inaan argamuu dhabuu 2] baay'inaan kan hin argamne waan ta'eef waan gatiin isaa guddaa ta'e,,,,,,,,
rascal,,"<h3>Cibra</h3> 1] fitnaa, daa'ima dira'aa nama gowoomsuu jaallatu 2] nama gadhee nin amanamnee",,,,,,,,
rash,,<h3>Cibra</h3> 1] shiffee <h3>Maqibsa</h3> 1] kefkeffee,,,,,,,,
rasher,,<h3>Cibra</h3> 1] foon booyyee (qailisamee kan murame),,,,,,,,
rasp,,"<h3>Cibra</h3> 1] sagalee dhagna namaa suukanneessu 2] moroda <h3>Gochima</h3> 1] haala namattii hin tollen dubbachuu 2] soofuu, moroduu",,,,,,,,
raspberry,,<h3>Cibra</h3> 1] goraa,,,,,,,,
Rastafarian,,<h3>Cibra</h3> 1] miseensa amantii warra Jamaayikaa kanneen mooticha Itoophiyaa duraanii Hayila Sillaasee akka Gooftaatti waaqeessan,,,,,,,,
Raster (ICT),,"<h3>Cibra</h3> 1] Raastarii, Raastarii, (ICT, Jecha Kompiitaraa)",,,,,,,,
rat,,<h3>Cibra</h3> 1] hantuuta,,,,,,,,
ratbag,,<h3>Cibra</h3> 1] nama jibbisiisaa,,,,,,,,
rate,,"<h3>Cibra</h3> 1] sardamsuu, saffisa 2] qaraxa lafaa fi manaa 3] gatii yookiin kaffaltii murtaa'aa <h3>Gochima</h3> 1] tilmaamuu",,,,,,,,
Rate (ICT),,"<h3>Cibra</h3> 1] Saffiisa, Saffiisa, (ICT, Jecha Kompiitaraa)",,,,,,,,
rather,,"<h3>Xumibsa</h3> 1] caalaatti, irra, mannaa",,,,,,,,
ratify,,<h3>Gochima</h3> 1] raggaasisuu,,,,,,,,
rating,,"<h3>Cibra</h3> 1] ramaaddii, sadarkaadhaan kaa'uu 2] ooftuu doonii (kan aangoo hin qabne)",,,,,,,,
ratio,,"<h3>Cibra</h3> 1] hira, reeshiyoo",,,,,,,,
ration,,"<h3>Cibra</h3> 1] yeroo rakkinni uumamee waanti ga'aa ta'e gabaa irraa dhabamutti qallaba, boba'aa fi kkf xinnoo xinnoo qoodamee gurguramu",,,,,,,,
rational,,"<h3>Maqibsa</h3> 1] qalbi-qabeessa, hubataa, sababa qabatamaatti kan amanu",,,,,,,,
rationale,,<h3>Cibra</h3> 1] sababa bu'uuraa (amansiisaa kan ta'e),,,,,,,,
rationalise,,<h3>Gochima</h3> 1] gochaa tokkoof sababa amansiisaa ta'e kennuuf yaaluu 2] sirna daldalaa keessatti jijjiirama gochuu (kees. si'aayina dabaluuf),,,,,,,,
rationalism,,"<h3>Cibra</h3> 1] amalli, yaadiif gochaan namaa hundi amantii utuu hin ta'iin sababa qabatamaa irratti hundaa'uu qaba tiyoorii jedhu",,,,,,,,
rattan,,<h3>Cibra</h3> 1] gosa gaalee kan Maaleezyiyaa keessatti argamu,,,,,,,,
rattle,,"<h3>Gochima</h3> 1] korkorsuu, rurrukutuu 2] sossodaachiisuu",,,,,,,,
ratty,,"<h3>Maqibsa</h3> 1] dafee kan aaru, funee",,,,,,,,
raucous,,<h3>Maqibsa</h3> 1] sagalee korrisaa,,,,,,,,
raunchy,,"<h3>Maqibsa</h3> 1] fedhii saalquunnamti ol'aanaa kan qabu, miriixamaa",,,,,,,,
ravage,,"<h3>Gochima</h3> 1] dhabamsiisuu, barbadeessuu, balleessuu",,,,,,,,
rave,,<h3>Gochima</h3> 1] akka nama sammuun tuqamee aariidhaan/dheekkamsaan dubbachuu 2] waan tokko dinqisiifatanii barreessuu/haasa'uu,,,,,,,,
ravel,,<h3>Gochima</h3> 1] addaan baasuu (fo'aa),,,,,,,,
raven,,<h3>Cibra</h3> 1] arraageessa,,,,,,,,
ravenous,,<h3>Maqibsa</h3> 1] baay'ee kan beela'e/beelofte,,,,,,,,
ravine,,<h3>Cibra</h3> 1] golba gad-fagoo dhiphoo,,,,,,,,
ravish,,<h3>Gochima</h3> 1] gammachuudhaan guutuu 2] gudeeduu,,,,,,,,
ravishing,,<h3>Maqibsa</h3> 1] baay'ee bareedduu,,,,,,,,
raw,,"<h3>Maqibsa</h3> 1] xobbee, kichuu dheedhii",,,,,,,,
Raw Disk (ICT),,"<h3>Cibra</h3> 1] Baxxee Addaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
rawboned,,"<h3>Maqibsa</h3> 1] godeessa, golgolaa'aa",,,,,,,,
ray,,"<h3>Cibra</h3> 1] carallaa, balaqii",,,,,,,,
raze,,"<h3>Gochima</h3> 1] barbadeessuu, dhabamsiisuu (guutumaan guutuu)",,,,,,,,
razor,,"<h3>Cibra</h3> 1] shiggiree, qarabaa",,,,,,,,
razz,,<h3>Gochima</h3> 1] basallaquu,,,,,,,,
razzle,,<h3>Gochima</h3> 1] manaa ba'anii bashannanuu,,,,,,,,
razzmatazz,,<h3>Cibra</h3> 1] namoota harkisuuf/hawwachuuf sochii godhamu,,,,,,,,
re-elect,,<h3>Gochima</h3> 1] nama tokko deebisanii filuu,,,,,,,,
re-enter,,<h3>Gochima</h3> 1] deebi'anii galuu,,,,,,,,
re-examine,,<h3>Gochima</h3> 1] irra deebi'anii qorachuu/xiinxaluu,,,,,,,,
reach,,<h3>Gochima</h3> 1] ga'uu,,,,,,,,
react,,"<h3>Gochima</h3> 1] dufachuu, deebii kennuu",,,,,,,,
reaction,,"<h3>Cibra</h3> 1] deebii gochaa, haala yookiin taatee tokkoof kennamu 2] qalbii, yaadaa fi miira kan duraan qaban irraa gara faallaa isaatti jijjiiruu 3] mormii (kees. kan jijjiirama siyaasaa) 4] jijjiirama keemikaalaa",,,,,,,,
reactionary,,<h3>Cibra</h3> 1] gartuu yookiin nama jijjiirama mormu,,,,,,,,
reactivate,,<h3>Gochima</h3> 1] waanti tokko deebi'ee sochii akka jalqabu gochuu,,,,,,,,
reactive,,<h3>Maqibsa</h3> 1] deebii kan kennu,,,,,,,,
reactor,,<h3>Cibra</h3> 1] meeshaa humna niwkilarii oomishuuf gargaaru,,,,,,,,
read,,<h3>Gochima</h3> 1] dubbisuu,,,,,,,,
Read (ICT),,"<h3>Gochima</h3> 1] Dubbisuu, Dubbisi, (ICT, Jecha Kompiitaraa)",,,,,,,,
Read Only (ICT),,"<h3>Cibra</h3> 1] Dubbisqofa (Db), (ICT, Jecha Kompiitaraa)",,,,,,,,
Read-Only (ICT),,"<h3>Cibra</h3> 1] Dubbisqofaa (Dq), (ICT, Jecha Kompiitaraa)",,,,,,,,
Read-Only File System (ICT),,"<h3>Cibra</h3> 1] Sirna Faayilii Dubbisqofaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Read-Write (ICT),,"<h3>Gochima</h3> 1] Dubbis-Barreessi (Db), (ICT, Jecha Kompiitaraa)",,,,,,,,
Readability (ICT),,"<h3>Cibra</h3> 1] Dubbifaminna, (ICT, Jecha Kompiitaraa)",,,,,,,,
readable,,<h3>Maqibsa</h3> 1] kan dubbifamu,,,,,,,,
readdress,,<h3>Gochima</h3> 1] teessoo xalayaa irra jiru jijjiiruu,,,,,,,,
reader,,<h3>Cibra</h3> 1] kan baay'ee dubbisuu jaallatu 2] kitaaba barattoonni dubbisuu ittiin shaakalan,,,,,,,,
readily,,"<h3>Xumibsa</h3> 1] mamii malee, fedhiidhaan 2] rakkina malee, salphaatti",,,,,,,,
readiness,,<h3>Cibra</h3> 1] qophaa'ummaa 2] fedhii qabaachuu 3] si'aayina,,,,,,,,
Reading Pane (ICT),,"<h3>Cibra</h3> 1] Fooddaa Dubbisaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
readjust,,"<h3>Gochima</h3> 1] of madaqsuu, of sirreessuu 2] sirreessuu",,,,,,,,
Readme File (ICT),,"<h3>Cibra</h3> 1] Faayilii Nadubis, (ICT, Jecha Kompiitaraa)",,,,,,,,
ready,,"<h3>Maqibsa</h3> 1] qophaa'aa, qindaa'aa",,,,,,,,
readymade,,<h3>Maqibsa</h3> 1] wayaa qophaa'aa kan akkuma bitatanitti namatti ta'u 2] dursee kan qopheeffame (nyaata) 3] mijaa'aa,,,,,,,,
reaffirm,,<h3>Gochima</h3> 1] mirkaneessuu (irra deebi'anii),,,,,,,,
reagent,,<h3>Cibra</h3> 1] waan jijjiirama keemikaalii fidu,,,,,,,,
real,,<h3>Cibra</h3> 1] dhugaa,,,,,,,,
realism,,<h3>Cibra</h3> 1] dhugaa jiru akkuma jirutti dhiheessuu (ogbarruu keessatti),,,,,,,,
realistic,,"<h3>Maqibsa</h3> 1] dhugaa irraa kan hin fagaanne, amansiisaa",,,,,,,,
reality,,"<h3>Cibra</h3> 1] dhugaa, haqa",,,,,,,,
realization,,"<h3>Cibra</h3> 1] hubannaa, hubannoo 2] hojii irra oolchuu",,,,,,,,
realize,,"<h3>Gochima</h3> 1] hubachuu 2] hojii irra oolchuu, dhugoomsuu (waan yaadan) 3] qabeenyaa gurguruudhaan gara maallaqaatti geeddaruuu 4] waan tokko gurguranii maallaqa argachuu",,,,,,,,
really,,"<h3>Maqibsa</h3> 1] dhugaatti, dhugumatti",,,,,,,,
realm,,<h3>Cibra</h3> 1] biyya mootiidhaan bultu,,,,,,,,
ream,,<h3>Cibra</h3> 1] waraqata dastaa baallee 500,,,,,,,,
reap,,<h3>Gochima</h3> 1] haamuu,,,,,,,,
reaping,,<h3>Cibra</h3> 1] haamaa,,,,,,,,
reappear,,<h3>Gochima</h3> 1] deebi'anii mul'achuu,,,,,,,,
reapply,,<h3>Gochima</h3> 1] deebisanii iyyachuu,,,,,,,,
reappoint,,<h3>Gochima</h3> 1] nama tokko aangoo isaatti deebisuu,,,,,,,,
reappraisal,,<h3>Cibra</h3> 1] waan tokko keessa deebi'anii gamaaggamuu/xiinxaluu,,,,,,,,
rear,,"<h3>Cibra</h3> 1] kan duubaa 2] fagaara, hudduu <h3>Gochima</h3> 1] kunuunsuu 2] horsiisuu 3] mataa ofi ol kaasuu",,,,,,,,
rearguard,,<h3>Cibra</h3> 1] raayyaan waraanaa naannoo tokko gad-dhiisee yeroo ba'u loltoota duubaa isa eegan,,,,,,,,
rearm,,<h3>Gochima</h3> 1] raayyaadhaaf meeshaa waraanaa dhiheessuu (irra deebi'anii),,,,,,,,
rearmost,,<h3>Maqibsa</h3> 1] gara duubaatti fagaatee kan jiru.,,,,,,,,
rearrange,,<h3>Gochima</h3> 1] qixxeessuu 2] karoora qophaa'e keessa deebi'anii ilaaluu,,,,,,,,
Rearrange (ICT),,"<h3>Gochima</h3> 1] Qiqindeessuu, Qiqindeessuu, (ICT, Jecha Kompiitaraa)",,,,,,,,
reason,,<h3>Cibra</h3> 1] sababa,,,,,,,,
reasonable,,"<h3>Maqibsa</h3> 1] sababa kan qabu, siritti waa hubachuu nama danda'u 2] wal gitaa (gatiidhaaf), mi'aa kan hin taane",,,,,,,,
reassemble,,"<h3>Gochima</h3> 1] deebi'anii wal ga'uu, wal arguu 2] erga addaan baasan booda qaama waan deebisanii walitti suphuu",,,,,,,,
reassure,,"<h3>Gochima</h3> 1] shakkii yookiin sodaa nami tokko qabu dhabamsiisuu, jajjabeessuu",,,,,,,,
reawaken,,"<h3>Gochima</h3> 1] sochoosuu, dammaqsuu (irra deebi'anii)",,,,,,,,
rebate,,"<h3>Gochima</h3> 1] gibira, liqii kkf hir'isuu",,,,,,,,
rebel,,<h3>Cibra</h3> 1] fincilaa <h3>Gochima</h3> 1] finciluu,,,,,,,,
rebellion,,<h3>Cibra</h3> 1] fincila,,,,,,,,
rebirth,,<h3>Gochima</h3> 1] deebi'anii dhalachuu,,,,,,,,
Reboot (ICT),,"<h3>Gochima</h3> 1] Lamuu Kaasi, (ICT, Jecha Kompiitaraa)",,,,,,,,
